age,sex,sei10,polviews,mass_trans_spend_right
47,Male,87.9,Moderate,0
61,Male,38.3,Liberal,0
43,Female,21.8,Moderate,0
55,Female,39.7,Slightly liberal,0
53,Female,44.6,Slightly liberal,1
50,Male,80.7,Slightly liberal,0
23,Female,20.1,Slghtly conservative,0
71,Male,32,Conservative,0
86,Female,13.2,Slghtly conservative,1
32,Male,20.8,Slightly liberal,0
60,Female,24.2,Liberal,1
76,Male,67.7,Moderate,0
33,Female,61.4,Moderate,0
56,Male,23.3,Conservative,1
62,Female,25.7,Slightly liberal,0
31,Male,80.9,Liberal,0
43,Male,39.2,Liberal,1
58,Female,24.2,Liberal,0
32,Female,33.3,Slghtly conservative,1
23,Female,21.6,Slightly liberal,1
37,Female,66.2,Extrmly conservative,0
25,Female,14.8,Liberal,1
71,Male,82.5,Liberal,0
22,Male,39.9,Moderate,1
74,Male,82.5,Moderate,1
75,Female,37.6,Conservative,0
32,Male,20.7,Liberal,1
68,Female,46.7,Moderate,1
55,Male,65.3,Slghtly conservative,1
46,Male,65.3,Slghtly conservative,1
58,Female,80.9,Moderate,1
35,Male,52.5,Conservative,1
59,Male,26.1,Conservative,1
58,Female,83.8,Conservative,1
79,Female,38.3,Moderate,1
40,Female,39.7,Extrmly conservative,0
44,Female,21.8,Moderate,1
68,Female,35.8,Moderate,0
36,Female,82.7,Liberal,0
70,Male,24.2,Moderate,1
28,Male,83.4,Extremely liberal,1
35,Female,80.2,Liberal,1
33,Male,86.8,Extremely liberal,0
23,Male,0,Slightly liberal,0
47,Female,91.1,Extremely liberal,0
25,Female,43,Liberal,0
70,Female,24.6,Extremely liberal,0
20,Male,36.8,Slghtly conservative,1
41,Male,91.1,Moderate,0
53,Female,55.3,Conservative,1
42,Female,20.1,Extremely liberal,1
40,Female,41.1,Moderate,1
57,Female,39.7,Slightly liberal,0
59,Female,84.5,Liberal,1
35,Female,21.6,Slghtly conservative,0
26,Male,29.5,Moderate,1
35,Male,39.9,Conservative,1
51,Female,0,Moderate,0
39,Female,34.7,Slightly liberal,0
27,Female,0,Moderate,0
30,Male,23.3,Extrmly conservative,0
29,Male,32.6,Slightly liberal,0
39,Female,24.2,Extrmly conservative,0
60,Female,24.2,Slghtly conservative,0
74,Female,0,Moderate,0
57,Female,73.2,Moderate,1
80,Male,58.1,Moderate,0
70,Male,70.5,Slghtly conservative,1
35,Female,84.2,Slightly liberal,0
49,Female,0,Liberal,1
36,Female,55.1,Extremely liberal,0
37,Female,72.7,Extremely liberal,1
78,Female,67.7,Extremely liberal,1
42,Male,83.8,Slightly liberal,1
35,Female,32.6,Slghtly conservative,1
33,Male,65.1,Slghtly conservative,0
44,Male,25.2,Moderate,1
41,Male,61.9,Moderate,0
52,Male,55.3,Moderate,1
45,Female,81.9,Moderate,1
41,Female,20.7,Moderate,1
68,Male,58.4,Slightly liberal,0
57,Female,24.2,Moderate,0
72,Male,56.3,Extremely liberal,0
50,Male,86.6,Slightly liberal,0
40,Male,57.8,Slightly liberal,0
58,Male,60.1,Extremely liberal,0
43,Male,27.6,Extremely liberal,0
25,Male,61.4,Moderate,0
33,Male,92.8,Slightly liberal,1
27,Male,38.8,Slightly liberal,1
58,Female,56.8,Moderate,1
66,Female,43,Moderate,1
66,Male,28.7,Moderate,0
29,Female,67.7,Extremely liberal,0
89,Female,13.2,Moderate,0
78,Female,38.3,Moderate,1
52,Female,26.1,Slightly liberal,0
50,Male,32,Moderate,0
25,Female,41.8,Conservative,1
37,Male,37.6,Slightly liberal,0
54,Female,76.3,Moderate,1
52,Male,28.5,Moderate,1
48,Male,24,Moderate,1
32,Female,92.8,Moderate,1
29,Female,60.3,Liberal,1
75,Female,54.1,Slightly liberal,0
59,Female,83.4,Extremely liberal,0
81,Male,56.9,Moderate,0
69,Female,45.1,Moderate,1
55,Female,82.5,Slightly liberal,0
52,Female,25.7,Moderate,0
33,Female,38.3,Extrmly conservative,1
56,Male,67.7,Moderate,1
71,Male,80.9,Slghtly conservative,1
21,Male,0,Moderate,0
49,Female,46.5,Moderate,1
26,Male,67.7,Slghtly conservative,0
33,Female,72.7,Liberal,0
36,Male,39.7,Slghtly conservative,0
68,Male,31.6,Moderate,1
27,Female,64.2,Conservative,1
60,Female,52,Moderate,1
48,Male,38.2,Moderate,1
47,Female,54.6,Moderate,1
36,Female,37.8,Slightly liberal,1
89,Female,38.3,Moderate,1
64,Female,59.9,Conservative,0
38,Female,38.8,Moderate,1
62,Male,25.1,Slghtly conservative,0
62,Female,82.5,Conservative,1
65,Female,42.9,Extremely liberal,0
60,Male,67.7,Slghtly conservative,0
62,Male,45.4,Extrmly conservative,0
51,Female,67.7,Liberal,0
43,Female,78.3,Slightly liberal,1
47,Male,43,Moderate,0
57,Female,67.7,Slghtly conservative,1
30,Male,59.1,Liberal,0
39,Male,52.3,Liberal,0
37,Female,61.4,Slightly liberal,0
61,Female,82.5,Liberal,0
58,Male,31.1,Moderate,1
52,Female,61.4,Moderate,0
46,Female,0,Moderate,1
25,Female,65.3,Moderate,1
54,Male,31.2,Liberal,1
33,Female,46.6,Extrmly conservative,1
33,Male,77,Slightly liberal,0
61,Female,19.6,Slightly liberal,0
65,Female,13.2,Slghtly conservative,0
66,Female,0,Extrmly conservative,1
57,Female,73.6,Moderate,0
50,Male,28.5,Moderate,0
75,Male,38.3,Slghtly conservative,0
22,Female,21.6,Moderate,0
27,Male,41,Slightly liberal,0
55,Male,33.4,Moderate,0
49,Female,65.3,Slightly liberal,0
51,Female,52,Moderate,1
56,Male,59.1,Extremely liberal,0
41,Female,43,Moderate,1
67,Male,59.4,Slghtly conservative,0
38,Female,29.4,Moderate,0
76,Female,84.2,Conservative,0
66,Male,20.7,Liberal,0
84,Female,38.3,Extrmly conservative,1
32,Male,0,Extrmly conservative,0
46,Male,20.9,Moderate,0
25,Male,39.7,Conservative,0
67,Male,77.4,Slightly liberal,1
34,Male,80.2,Extremely liberal,1
29,Female,0,Slghtly conservative,1
51,Female,26.5,Moderate,0
39,Female,38.8,Moderate,1
39,Female,12.4,Moderate,1
51,Female,12.6,Conservative,1
40,Female,39.6,Moderate,1
32,Male,25.2,Moderate,1
38,Male,35.8,Liberal,1
79,Female,21.6,Conservative,1
49,Male,64.5,Slghtly conservative,0
22,Male,13.6,Moderate,0
30,Male,69.3,Moderate,0
47,Male,67.7,Slghtly conservative,0
55,Male,28.7,Moderate,1
30,Male,39.7,Moderate,0
29,Male,60.3,Slightly liberal,0
37,Male,73.6,Slightly liberal,0
67,Female,67.7,Liberal,0
38,Female,76.3,Moderate,1
81,Female,24.6,Moderate,0
35,Male,27,Moderate,0
46,Male,69.3,Slghtly conservative,0
21,Male,0,Slghtly conservative,1
43,Male,66.1,Moderate,1
45,Female,61.4,Moderate,0
76,Female,71.7,Slghtly conservative,0
77,Male,32,Moderate,1
61,Female,35.8,Moderate,1
45,Female,32,Moderate,1
47,Male,46,Liberal,0
41,Male,85.2,Liberal,0
25,Male,53,Liberal,0
45,Male,77.4,Slghtly conservative,0
21,Male,25.7,Extrmly conservative,1
48,Female,37.2,Moderate,0
25,Male,85.2,Slightly liberal,0
33,Female,52,Moderate,1
72,Male,74.8,Conservative,0
70,Female,38.1,Conservative,0
66,Female,87.3,Moderate,0
57,Female,87.9,Conservative,0
81,Male,89.1,Slghtly conservative,0
23,Male,82.5,Slghtly conservative,0
48,Female,84.2,Conservative,0
62,Female,21.6,Conservative,1
43,Male,67.7,Conservative,0
34,Female,21.8,Liberal,1
36,Male,28.7,Slghtly conservative,1
37,Male,24,Slghtly conservative,1
32,Male,55.3,Slightly liberal,1
53,Female,12.6,Liberal,0
42,Male,28.4,Conservative,1
44,Female,87.9,Liberal,0
36,Female,41.1,Moderate,1
49,Male,74.8,Moderate,1
35,Female,62,Conservative,0
47,Male,87.9,Slghtly conservative,1
29,Male,23.3,Liberal,0
36,Male,71,Moderate,0
31,Male,19.7,Slghtly conservative,0
19,Male,0,Moderate,1
25,Male,32,Slightly liberal,1
30,Female,26.1,Moderate,1
62,Male,46.5,Slightly liberal,0
35,Female,80.9,Conservative,0
41,Male,99.9,Moderate,0
62,Female,84.5,Extremely liberal,0
20,Male,27,Slghtly conservative,0
42,Male,52,Moderate,1
30,Female,41.1,Liberal,1
26,Female,65.3,Slghtly conservative,0
58,Female,84.2,Moderate,1
47,Female,92.2,Extremely liberal,0
44,Male,32,Moderate,1
75,Female,84.5,Extremely liberal,0
44,Female,71.4,Moderate,0
36,Female,46.6,Moderate,0
62,Female,67.7,Slightly liberal,0
37,Male,80.7,Slghtly conservative,0
69,Female,39.7,Moderate,0
48,Male,34.6,Moderate,0
44,Female,80.9,Extremely liberal,0
59,Male,39.7,Extrmly conservative,1
61,Female,77.2,Slightly liberal,0
31,Male,84,Moderate,1
49,Female,21.8,Moderate,0
47,Female,0,Moderate,0
83,Female,35.1,Conservative,1
38,Male,62.9,Slghtly conservative,0
47,Male,46.6,Extremely liberal,0
28,Male,24.6,Extremely liberal,1
73,Female,38.8,Conservative,1
31,Female,76.3,Liberal,0
55,Male,91.1,Liberal,0
61,Male,59.1,Slightly liberal,1
50,Male,65.3,Moderate,0
67,Female,21.8,Moderate,1
41,Male,36.4,Slghtly conservative,1
22,Female,21.8,Conservative,1
60,Female,55.1,Extremely liberal,0
36,Female,43,Slightly liberal,0
39,Female,91.1,Liberal,1
40,Male,59.1,Moderate,0
23,Female,0,Moderate,1
63,Female,38.3,Moderate,0
60,Male,13.6,Moderate,1
40,Male,32,Extrmly conservative,1
40,Male,73.6,Moderate,1
30,Female,62.9,Moderate,1
43,Female,37.6,Moderate,0
58,Male,87.6,Moderate,0
44,Male,73.4,Moderate,0
69,Male,43.8,Liberal,0
66,Male,74.8,Slightly liberal,1
43,Male,20.9,Moderate,1
37,Male,46,Slightly liberal,1
28,Male,17.5,Moderate,1
69,Female,73.4,Liberal,0
27,Female,0,Extremely liberal,1
60,Female,61.4,Conservative,1
62,Female,36.5,Moderate,1
74,Male,0,Extrmly conservative,1
32,Female,14,Slghtly conservative,1
68,Female,35.8,Moderate,0
39,Male,43.9,Slghtly conservative,0
21,Female,24.6,Moderate,1
52,Female,68.6,Slightly liberal,0
46,Male,71,Slghtly conservative,1
56,Male,59.1,Slghtly conservative,1
60,Male,70.5,Slghtly conservative,0
22,Male,61.2,Slghtly conservative,1
35,Male,39.9,Moderate,1
42,Female,78.3,Slghtly conservative,0
58,Male,43,Conservative,1
32,Female,43.9,Moderate,1
59,Female,25.7,Conservative,0
20,Male,59.1,Moderate,1
44,Male,43.8,Moderate,0
34,Female,24.6,Slightly liberal,0
62,Female,71.8,Conservative,1
59,Male,31.6,Slightly liberal,1
51,Female,38.8,Slghtly conservative,1
37,Male,77.2,Moderate,0
50,Male,99.9,Liberal,1
40,Female,37.6,Moderate,1
53,Male,18.6,Moderate,1
52,Male,31,Moderate,1
52,Female,21.8,Slightly liberal,1
36,Female,99.9,Liberal,0
56,Male,63.7,Extrmly conservative,0
64,Female,37.6,Liberal,1
62,Female,80.9,Moderate,1
35,Female,77.2,Slghtly conservative,1
60,Male,52,Moderate,1
36,Female,38.8,Moderate,1
62,Female,55.3,Slghtly conservative,0
30,Male,65.1,Moderate,1
27,Male,28.7,Moderate,1
60,Female,67.8,Moderate,0
51,Male,34.5,Moderate,0
42,Female,35.3,Conservative,1
59,Male,24,Slightly liberal,1
49,Male,32.6,Liberal,1
53,Female,67.7,Conservative,1
47,Male,68,Slghtly conservative,1
47,Female,88.7,Conservative,1
80,Female,84.5,Liberal,1
34,Female,85.5,Moderate,0
31,Male,45.1,Moderate,1
29,Female,41.1,Moderate,0
68,Female,84.5,Liberal,0
89,Male,75.5,Moderate,1
76,Female,77.4,Moderate,0
64,Male,43,Slightly liberal,1
40,Female,43,Slightly liberal,1
27,Female,67.7,Slghtly conservative,1
56,Female,75.5,Slightly liberal,0
71,Female,38.8,Moderate,1
29,Female,20.1,Liberal,1
74,Female,71.8,Extremely liberal,1
30,Female,75.6,Slightly liberal,0
65,Female,62.9,Liberal,1
41,Female,24.6,Moderate,0
38,Male,73.4,Liberal,0
49,Male,82.7,Extremely liberal,0
25,Male,84.5,Liberal,0
25,Female,88.3,Liberal,0
26,Female,20.1,Slightly liberal,0
34,Female,67.8,Liberal,1
34,Female,37.6,Liberal,0
36,Male,37.6,Moderate,1
59,Male,18.6,Liberal,1
49,Female,41,Conservative,1
45,Female,84.2,Slghtly conservative,0
34,Male,20.7,Moderate,1
44,Male,86.1,Slghtly conservative,1
66,Female,82.4,Slightly liberal,0
53,Female,74.8,Moderate,1
59,Female,84.5,Extremely liberal,0
43,Female,77.4,Slightly liberal,0
44,Male,65.3,Slightly liberal,1
37,Male,80.9,Conservative,1
37,Male,56.9,Moderate,0
48,Male,44.6,Conservative,1
34,Female,41.1,Moderate,1
25,Male,59.1,Conservative,1
44,Female,25.7,Slghtly conservative,1
63,Female,24.2,Conservative,0
26,Male,58.4,Slightly liberal,0
64,Female,38.8,Moderate,0
21,Male,20.7,Moderate,0
31,Female,24.2,Liberal,0
27,Female,37.6,Moderate,1
53,Female,84.2,Liberal,0
70,Female,67.7,Slightly liberal,1
53,Female,69.3,Moderate,1
59,Male,85.2,Liberal,0
47,Male,80.2,Slightly liberal,1
27,Male,55.3,Liberal,1
52,Male,34.8,Slghtly conservative,1
26,Female,39.7,Liberal,0
24,Female,25.2,Conservative,1
25,Female,41.1,Moderate,1
44,Male,27.6,Liberal,1
29,Male,31.2,Conservative,1
57,Female,67.8,Slghtly conservative,1
61,Male,32,Moderate,1
66,Male,52.4,Slghtly conservative,0
48,Female,12.6,Extremely liberal,0
26,Male,87.9,Liberal,0
29,Female,86.9,Slightly liberal,1
48,Male,44.6,Slightly liberal,0
30,Male,55.1,Liberal,0
56,Male,38.8,Slghtly conservative,0
28,Male,20.7,Slghtly conservative,0
65,Male,36.2,Moderate,1
43,Male,18.6,Extremely liberal,0
49,Male,73.9,Slightly liberal,0
19,Female,61.4,Moderate,1
30,Female,61.4,Slghtly conservative,1
67,Male,58.4,Moderate,1
37,Female,37.2,Moderate,1
40,Male,34.6,Extremely liberal,0
65,Male,87.9,Moderate,1
63,Female,21.8,Slghtly conservative,1
34,Female,68.6,Slightly liberal,1
37,Female,73.9,Moderate,0
48,Female,57.8,Moderate,0
81,Male,18.6,Moderate,0
58,Female,92.8,Extremely liberal,1
64,Female,69.3,Moderate,0
37,Female,67.7,Liberal,1
66,Male,81.9,Liberal,1
31,Male,69.4,Slghtly conservative,0
64,Male,59.4,Slghtly conservative,0
57,Female,76.3,Liberal,0
59,Female,84.5,Liberal,0
29,Female,19.7,Moderate,1
59,Male,77.4,Extremely liberal,0
59,Female,82.5,Slightly liberal,0
71,Male,85.2,Liberal,1
36,Male,65.3,Slghtly conservative,0
29,Male,32.6,Liberal,0
28,Male,65.3,Liberal,0
76,Female,38.8,Moderate,0
71,Female,20.7,Moderate,0
24,Male,44.5,Liberal,1
61,Female,72.7,Extremely liberal,0
34,Female,92.2,Liberal,0
48,Male,37.8,Moderate,1
27,Male,25.4,Liberal,0
26,Female,19.6,Slghtly conservative,0
31,Female,43.8,Moderate,0
61,Female,71.8,Conservative,0
44,Female,74.6,Moderate,1
84,Male,72.6,Slghtly conservative,0
73,Male,84.5,Extremely liberal,1
37,Male,28.7,Slightly liberal,1
82,Female,76.3,Slghtly conservative,1
72,Female,28.4,Extrmly conservative,0
37,Male,23.3,Extremely liberal,0
32,Male,84.5,Liberal,0
50,Male,25.2,Moderate,0
34,Male,13.6,Conservative,0
42,Female,39.7,Moderate,1
58,Female,60.3,Liberal,0
33,Female,20.1,Extremely liberal,1
58,Female,20.1,Moderate,0
22,Male,64.5,Liberal,0
24,Female,19.6,Moderate,1
32,Female,37.6,Moderate,1
20,Male,19.7,Conservative,1
19,Male,0,Moderate,1
54,Female,76.3,Slightly liberal,0
21,Female,39.7,Liberal,0
55,Female,80.7,Moderate,0
42,Female,62.9,Liberal,1
65,Female,24.2,Moderate,1
68,Female,99.9,Moderate,0
59,Female,24.2,Slghtly conservative,0
32,Male,28.4,Liberal,0
51,Male,57.5,Moderate,0
69,Male,30.9,Moderate,0
34,Female,80.7,Slightly liberal,0
24,Male,23.3,Moderate,0
45,Female,20.1,Moderate,0
34,Female,26.8,Moderate,1
58,Male,77.4,Moderate,0
47,Female,24.2,Moderate,1
50,Male,77.4,Slightly liberal,0
33,Female,91.1,Liberal,0
85,Male,75.5,Liberal,0
45,Female,92.8,Liberal,0
23,Female,21.8,Liberal,1
33,Male,70.5,Liberal,1
51,Female,20.7,Moderate,0
52,Female,67.7,Moderate,1
78,Female,38.8,Liberal,0
69,Male,63.7,Liberal,0
62,Female,39.7,Moderate,0
74,Female,88.6,Slightly liberal,0
76,Male,65.3,Moderate,0
76,Female,77.2,Moderate,1
47,Male,27.4,Slightly liberal,1
87,Female,37.6,Slightly liberal,1
28,Male,28.7,Moderate,1
47,Male,82.5,Extremely liberal,0
58,Female,85.8,Slightly liberal,0
32,Male,69.3,Moderate,1
47,Female,71.4,Extremely liberal,1
27,Female,91.1,Liberal,0
57,Female,63.7,Slightly liberal,1
